id_inserm;Geo_X;Geo_Y
5008596;598831;2440270
5008658;602458;2431994
5008663;586777;2410530
5008673;658831;2425051
5008674;596907;2410807
5008675;612848;2439063
5008677;614186;2426893
5008680;617390;2414007
5008709;598228;2425329
5008725;565196;2439892
5008758;577917;2419416
5008759;612304;2425197
5008831;602467;2405636
5008833;592350;2441250
5008834;596405;2422360
5008835;604540;2418974
5008846;587611;2443504
5008847;600094;2421252
5008848;618067;2403069
5008849;603191;2423609
5008850;609682;2415848
5008852;590873;2415066
5008869;615591;2419812
5008870;612553;2434363
5008902;600361;2425863
5008905;594360;2424468
5008906;643658;2361984
5008907;613788;2436723
5008909;596151;2440948
5008914;611222;2416000
5008915;605401;2443155
5009021;597790;2431811
5009028;600545;2428949
5009034;590922;2415080
5009113;602364;2431684
5009126;596967;2440122
5009131;599632;2448032
5009132;601665;2424088
5009137;615495;2439969
5009142;622721;2392734
5009143;593890;2441390
5009350;585777;2439174
5009365;609011;2432215
5009387;597733;2426197
5009404;607216;2427620
5009405;617186;2429862
5009408;598756;2404798
5009411;618819;2431016
5009412;602930;2408786
5009416;626033;2427739
5009417;592681;2397735
5009455;603155;2435720
5009456;607679;2402677
5009457;648610;2385867
5009458;643669;2439815
5009460;626182;2391561
5009479;595978;2425143
5009480;602519;2443074
5009486;603824;2412168
5009489;593139;2434638
5009490;591823;2447005
5009493;590163;2432381
5009529;588978;2438166
5009531;592191;2420933
5009534;580481;2426927
5009563;598013;2416159
5009580;581375;2431531
5009582;617293;2399648
5009583;595617;2432879
5009585;604655;2426603
5009587;595845;2441235
5009589;598934;2411116
5009590;635178;2374310
5009593;599203;2428493
5009603;601063;2429285
5009613;605400;2428526
5009679;601279;2432238
5009736;600539;2431363
5009737;574661;2428368
5009796;602253;2429520
5009797;584747;2437899
5009802;604840;2427165
5009807;610199;2399946
5009840;607308;2436090
5009841;594167;2426953
5009842;607952;2437659
5009843;598300;2431713
5009845;621574;2417641
5009846;662853;2436187
5009850;617057;2430335
5009868;595145;2423433
5009877;610548;2411406
5009890;605072;2436123
5009896;620424;2437647
5009921;596872;2440049
5009927;599328;2428164
5009928;606084;2423220
5010000;584176;2420455
5010002;605650;2425147
5010011;546413;2450240
5010081;603426;2439650
5010104;603457;2436014
5010109;592911;2431275
5010149;599856;2435121
5010183;579035;2436682
5010193;567491;2413504
5010194;612936;2434074
5010196;597819;2424939
5010197;583296;2448616
5010198;574091;2447673
5010199;603150;2420415
5010202;598133;2419618
5010211;610259;2418864
5010228;597819;2424939
5010229;602737;2408877
5010237;599654;2437816
5010251;615167;2425317
5010252;617941;2402905
5010277;615475;2423179
5010278;595485;2427791
5010279;604326;2440822
5010285;605735;2441781
5010298;615164;2403588
5010300;594296;2431923
5010301;597255;2427464
5010302;670460;2398692
5010303;600525;2425174
5010305;644103;2370898
5010309;605953;2444896
5010383;603685;2431225
5010392;622436;2393864
5010393;648569;2422559
5010425;577595;2441585
5010426;598798;2423046
5010427;612280;2435478
5010438;590828;2395101
5010439;604841;2427183
5010443;603039;2432363
5010444;655754;2425149
5010445;591554;2433002
5010446;603542;2409962
5010447;579537;2449629
5010463;593454;2420922
5010476;609872;2419057
5010477;598303;2403371
5010483;578072;2420555
5010484;599322;2433235
5010486;592193;2435855
5010551;583139;2444733
5010552;579682;2442436
5010553;606305;2424548
5010555;608338;2422924
5010577;586335;2433379
5010578;617530;2399712
5010583;592932;2435171
5010592;587058;2378249
5010618;582420;2450180
5010620;592623;2420832
5010622;611672;2439708
5010623;609491;2432452
5010625;639565;2440656
5010626;613042;2429314
5010627;620350;2427131
5010628;594396;2435779
5010629;591993;2432469
5010630;602876;2458668
5010669;604339;2441404
5010746;605062;2427808
5010747;608976;2419416
5010749;578299;2418965
5010786;595485;2436899
5010797;595599;2428452
5010803;577205;2449663
5010806;604065;2405641
5010808;619300;2433711
5010809;605462;2424919
5010810;585715;2382047
5010823;609053;2413533
5010824;606210;2411956
5010826;585878;2439440
5010827;617067;2406306
5010878;597495;2432361
5010881;614204;2438033
5010886;573093;2421831
5010901;601218;2422047
5010903;619499;2422294
5010920;602873;2441860
5010926;623987;2397198
5010940;628238;2427615
5010941;618122;2428300
5010942;603886;2431022
5010943;592131;2433544
5010954;577119;2429130
5010964;585646;2423539
5010968;610771;2445872
5010971;579186;2424189
5010973;635262;2361914
5011050;600526;2425896
5011053;598899;2431308
5011054;626766;2364338
5011055;576151;2418861
5011065;578972;2446138
5011070;613827;2433891
5011088;606145;2424032
5011105;603126;2420403
5011116;611602;2427979
5011117;587678;2423099
5011118;609452;2433038
5011120;606102;2423034
5011133;593442;2436447
5011190;601229;2448322
5011193;603639;2431857
5011204;599336;2436419
5011219;604792;2430074
5011225;581668;2433724
5011235;604577;2435110
5011237;605385;2403712
5011238;586300;2429010
5011239;552786;2445369
5011240;577610;2418606
5011241;609004;2438777
5011309;584426;2422428
5011315;574561;2368081
5011316;613401;2421940
5011317;581562;2368562
5011318;589493;2427877
5011332;609022;2420834
5011333;605354;2418658
5011338;621317;2414805
5011351;592487;2442501
5011370;581332;2431361
5011393;606611;2410369
5011405;600571;2419897
5011416;608320;2392624
5011417;586317;2451597
5011429;597400;2426848
5011436;600973;2432070
5011440;583646;2419062
5011443;571308;2429610
5011474;597222;2427893
5011504;552985;2421222
5011505;606749;2458217
5011506;602284;2405711
5011508;601341;2429065
5011509;597174;2427204
5011569;593880;2436004
5011645;601794;2433006
5011707;609402;2427995
5011716;597492;2425635
5011717;588941;2431333
5011718;613133;2433960
5011719;575691;2391877
5011720;629608;2428770
5011722;594657;2427665
5011788;599269;2438373
5011815;610289;2412584
5011816;663597;2386821
5011825;597400;2417895
5011883;614651;2424389
5011894;596164;2432623
5011895;603234;2428618
5011908;578050;2445924
5011909;593082;2432880
5011910;608895;2434791
5011911;601999;2432442
5011921;596070;2436420
5011971;601838;2419890
5011972;569046;2443171
5011995;595514;2403991
5012044;602557;2438308
5012059;646568;2398402
5012061;582917;2431582
5012071;619382;2438104
5012089;556367;2444462
5012090;610438;2433363
5012091;603125;2409711
5012093;629770;2370392
5012095;587366;2452612
5012096;605706;2408088
5012097;624742;2419209
5012182;596849;2417973
5012194;602783;2428826
5012195;603944;2434425
5012318;602295;2441610
5012322;608938;2432381
5013765;570165;2417434
5013766;614719;2431601
5014580;583584;2448992
8010442;545823;2448995
8012186;606000;2413686
8012187;599614;2420405
8012188;603552;2423799
8012246;594018;2399653
8012252;650599;2443443
8012260;616513;2438848
8012261;575286;2372160
8012262;608259;2416621
8012263;600273;2427583
8012314;605794;2424737
8012323;617640;2399722
8012349;595270;2420032
8012452;598997;2432648
8012464;601970;2421666
8012468;602177;2424404
8012473;601951;2420534
8012474;582943;2433132
8012482;598040;2423836
